EmployeeID,EmployeeName,Age,Gender,EducationLevel,ExperienceYears,DateOfJoining,Location,Department,Role,Manager,AppraisalScore(1-5),KPI_Achievement(%),BehaviourScore(1-5),3Yr_Avg_Performance,PotentialScore(1-5),GoalCompletionRate(%),ProjectsCompleted,Attendance(%),ProductivityIndex,ErrorRate(%),CustomerFeedback(1-5),CommunicationScore(1-5),TeamCollaboration(1-5),ProblemSolving(1-5),LeadershipScore(1-5),LearningAgility(1-5),SuccessorReadiness,CurrentSkillScore,RequiredSkillScore,SkillGapScore,TrainingHours,CertificationsCompleted,TrainingEffectiveness(1-5),AttritionRiskScore(1-5),EngagementScore(1-5),WorkLifeBalanceScore(1-5),PeerFeedback(1-5),ManagerFeedback(1-5),BaseSalary,Increment(%),Bonus(%),CriticalRole(Yes/No),Performance_Composite,Potential_Composite,Behavior_Composite,Skill_Composite,Risk_Composite,FinalScore,FinalScore_0_100,Performance_Category,Potential_Category,NineBox
E1009,Employee_9,26,Female,Bachelors,11.1,16-10-2016,East,Sales,Sales Executive,Joshi,2.8,88,2.8,2.6,2,79,14,99,1.2,4.74,2.3,3.5,3.4,2.5,3.3,3.2,Ready in 1 Year,40,75,35,53,4,4.7,4,3.1,3.9,3.5,4.6,309540,14.0,17.3,No,0.5429050747704435,0.28323809523809523,0.875,0.29012345679012347,0.6496772097507808,0.4948796646461574,49.49,Medium,Low,Low-Medium
E1016,Employee_16,32,Other,Diploma,4.3,18-06-2006,South,Sales,Sales Executive,Singh,3.5,86,2.7,4.3,2,87,1,93,1.41,2.98,3.6,4.1,4.4,3.4,4.5,4.3,Ready Now,53,61,8,33,5,3.5,5,2.6,3.7,3.0,3.6,979574,3.4,8.0,No,0.5072150492066987,0.5488571428571428,0.8928571428571428,0.34744268077601415,0.45727916394502205,0.5590799602432462,55.91,Medium,Medium,Medium-Medium
E1025,Employee_25,53,Female,Masters,22.5,01-12-2006,West,Sales,Sales Executive,Singh,4.7,67,2.6,3.1,5,72,8,91,0.84,5.69,4.7,3.7,4.2,4.4,5.0,3.8,Ready in 1 Year,78,62,-16,42,3,4.8,5,3.2,3.0,2.3,3.9,578176,4.9,5.5,Yes,0.4812528318570047,0.7882857142857144,0.8571428571428572,0.3977072310405644,0.5223227145351003,0.6234451344307561,62.34,Medium,High,High-Medium
E1032,Employee_32,30,Other,PhD,24.9,18-03-2014,South,Sales,Sales Executive,Mehta,2.9,91,3.7,4.1,2,96,9,73,1.08,0.91,4.6,2.8,2.4,4.7,4.9,4.6,Ready Now,86,82,-4,14,0,3.7,3,2.8,2.8,2.0,4.1,1460793,11.1,24.2,No,0.5643110382998924,0.5843809523809524,0.2857142857142857,0.1340388007054673,0.4246116764004224,0.4785303077819534,47.85,Medium,Medium,Medium-Medium
E1044,Employee_44,36,Male,PhD,23.2,21-04-2019,Central,Sales,Sales Executive,Ahuja,2.8,63,3.1,3.2,4,78,15,97,1.04,3.11,3.8,4.1,2.8,3.2,2.4,2.5,Ready in 3 Years,82,75,-7,43,1,4.4,1,3.7,2.8,4.9,3.5,1710822,16.5,12.5,Yes,0.5409075482618736,0.4079047619047619,0.4642857142857143,0.2927689594356261,0.5318728422010821,0.4642478430726518,46.42,Medium,Medium,Medium-Medium
E1046,Employee_46,56,Other,Bachelors,17.2,07-06-2014,North,Sales,Sales Executive,Mehta,2.5,83,2.8,2.8,3,87,10,76,1.27,2.65,3.9,3.8,3.2,3.1,3.0,3.9,Ready Now,64,61,-3,48,3,2.2,5,2.2,3.9,2.8,3.8,1343445,5.4,14.1,No,0.5173530730355606,0.4434285714285714,0.5892857142857143,0.15520282186948858,0.3620703063341918,0.46198645528931126,46.2,Medium,Medium,Medium-Medium
E1051,Employee_51,39,Male,Bachelors,2.0,17-03-2021,West,Sales,Sales Executive,Ahuja,3.6,85,2.8,4.7,5,67,8,72,0.88,3.94,3.4,4.4,4.7,4.9,4.4,2.9,Ready Now,65,80,15,1,3,2.2,1,4.5,2.1,4.7,3.4,1738454,13.5,22.9,No,0.5389596497576707,0.78,0.017857142857142856,0.6177248677248677,0.36439482603077067,0.5322546594056651,53.23,Medium,High,High-Medium
E1066,Employee_66,45,Female,Diploma,18.8,23-08-2005,North,Sales,Sales Executive,Singh,3.4,71,4.0,4.8,4,91,1,94,0.83,4.82,2.6,3.8,2.8,2.6,3.5,2.0,Ready in 1 Year,61,61,0,48,5,4.5,4,2.3,3.0,4.4,3.7,1642057,6.6,23.6,Yes,0.37574386993395376,0.38104761904761897,0.7857142857142857,0.11992945326278653,0.568572716139213,0.4228905576782494,42.29,Low,Low,Low-Low
E1067,Employee_67,45,Male,Diploma,22.1,13-07-2013,East,Sales,Sales Executive,Ahuja,3.6,60,3.5,4.3,5,57,13,81,1.17,2.97,4.2,4.9,4.2,4.6,2.0,4.2,Ready in 3 Years,80,76,-4,22,0,3.8,2,2.8,4.0,4.4,4.0,858830,9.0,20.0,Yes,0.5923691148058199,0.7252380952380952,0.3035714285714286,0.34832451499118167,0.4059903877290084,0.5551867596650395,55.52,Medium,High,High-Medium
E1098,Employee_98,42,Other,Diploma,14.4,16-02-2018,North,Sales,Sales Executive,Ahuja,3.8,88,3.6,4.2,3,51,8,80,1.31,7.07,4.9,4.5,4.7,4.8,4.4,4.0,Ready in 3 Years,61,65,4,44,2,2.7,5,3.0,4.9,4.7,4.5,1374101,11.8,11.3,No,0.6892293101645748,0.7208571428571429,0.6607142857142857,0.43253968253968256,0.37503690528591493,0.6530618232983796,65.31,Medium,High,High-Medium
